,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-22 02:00:00,2025-09-22 02:57:00,1,taxi,15,walk,4
1,2025-09-22 02:56:00,2025-09-22 04:01:00,1,taxi,19,walk,4
2,2025-09-22 03:06:00,2025-09-22 05:00:00,1,walk,8,walk,4
3,2025-09-22 03:56:00,2025-09-22 05:00:00,1,taxi,19,walk,4
4,2025-09-22 04:08:00,2025-09-22 05:54:00,3,walk,15,walk,3
5,2025-09-22 04:08:00,2025-09-22 05:56:00,2,walk,15,walk,5
6,2025-09-22 04:11:00,2025-09-22 05:54:00,4,taxi,7,walk,3
7,2025-09-22 04:11:00,2025-09-22 05:56:00,3,taxi,7,walk,5
8,2025-09-22 04:41:00,2025-09-22 06:00:00,1,walk,8,walk,4
9,2025-09-22 04:56:00,2025-09-22 06:00:00,1,taxi,19,walk,4
10,2025-09-22 05:03:00,2025-09-22 06:56:00,2,walk,15,walk,5
11,2025-09-22 05:06:00,2025-09-22 06:56:00,3,taxi,7,walk,5
12,2025-09-22 05:41:00,2025-09-22 07:00:00,1,walk,8,walk,4
13,2025-09-22 05:56:00,2025-09-22 07:00:00,1,taxi,19,walk,4
14,2025-09-22 06:06:00,2025-09-22 08:00:00,1,walk,8,walk,4
15,2025-09-22 06:56:00,2025-09-22 08:00:00,1,taxi,19,walk,4
16,2025-09-22 07:06:00,2025-09-22 09:00:00,1,walk,8,walk,4
17,2025-09-22 07:08:00,2025-09-22 08:54:00,3,walk,15,walk,3
18,2025-09-22 07:08:00,2025-09-22 08:56:00,2,walk,15,walk,5
19,2025-09-22 07:11:00,2025-09-22 08:54:00,4,taxi,7,walk,3
20,2025-09-22 07:11:00,2025-09-22 08:56:00,3,taxi,7,walk,5
21,2025-09-22 07:56:00,2025-09-22 09:00:00,1,taxi,19,walk,4
22,2025-09-22 08:06:00,2025-09-22 10:00:00,1,walk,8,walk,4
23,2025-09-22 08:56:00,2025-09-22 10:00:00,1,taxi,19,walk,4
24,2025-09-22 09:04:00,2025-09-22 10:54:00,3,walk,15,walk,3
25,2025-09-22 09:04:00,2025-09-22 10:56:00,2,walk,15,walk,5
26,2025-09-22 09:06:00,2025-09-22 11:00:00,1,walk,8,walk,4
27,2025-09-22 09:07:00,2025-09-22 10:54:00,4,taxi,7,walk,3
28,2025-09-22 09:07:00,2025-09-22 10:56:00,3,taxi,7,walk,5
29,2025-09-22 09:56:00,2025-09-22 11:00:00,1,taxi,19,walk,4
30,2025-09-22 10:06:00,2025-09-22 12:00:00,1,walk,8,walk,4
31,2025-09-22 10:56:00,2025-09-22 12:00:00,1,taxi,19,walk,4
32,2025-09-22 11:04:00,2025-09-22 12:52:00,3,walk,15,walk,3
33,2025-09-22 11:04:00,2025-09-22 12:56:00,2,walk,15,walk,5
34,2025-09-22 11:06:00,2025-09-22 13:00:00,1,walk,8,walk,4
35,2025-09-22 11:07:00,2025-09-22 12:52:00,4,taxi,7,walk,3
36,2025-09-22 11:07:00,2025-09-22 12:56:00,3,taxi,7,walk,5
37,2025-09-22 11:56:00,2025-09-22 13:00:00,1,taxi,19,walk,4
38,2025-09-22 12:06:00,2025-09-22 14:00:00,1,walk,8,walk,4
39,2025-09-22 12:56:00,2025-09-22 14:00:00,1,taxi,19,walk,4
40,2025-09-22 13:04:00,2025-09-22 14:54:00,3,walk,15,walk,3
41,2025-09-22 13:04:00,2025-09-22 14:56:00,2,walk,15,walk,5
42,2025-09-22 13:06:00,2025-09-22 15:00:00,1,walk,8,walk,4
43,2025-09-22 13:07:00,2025-09-22 14:54:00,4,taxi,7,walk,3
44,2025-09-22 13:07:00,2025-09-22 14:56:00,3,taxi,7,walk,5
45,2025-09-22 13:56:00,2025-09-22 15:00:00,1,taxi,19,walk,4
46,2025-09-22 14:06:00,2025-09-22 16:00:00,1,walk,8,walk,4
47,2025-09-22 14:56:00,2025-09-22 16:00:00,1,taxi,19,walk,4
48,2025-09-22 15:04:00,2025-09-22 16:54:00,3,walk,15,walk,3
49,2025-09-22 15:04:00,2025-09-22 16:56:00,2,walk,15,walk,5
50,2025-09-22 15:06:00,2025-09-22 17:00:00,1,walk,8,walk,4
51,2025-09-22 15:07:00,2025-09-22 16:54:00,4,taxi,7,walk,3
52,2025-09-22 15:07:00,2025-09-22 16:56:00,3,taxi,7,walk,5
53,2025-09-22 15:49:00,2025-09-22 17:54:00,2,walk,15,walk,3
54,2025-09-22 15:49:00,2025-09-22 17:56:00,1,walk,15,walk,5
55,2025-09-22 15:56:00,2025-09-22 17:00:00,1,taxi,19,walk,4
56,2025-09-22 16:06:00,2025-09-22 18:00:00,1,walk,8,walk,4
57,2025-09-22 16:56:00,2025-09-22 18:00:00,1,taxi,19,walk,4
58,2025-09-22 17:06:00,2025-09-22 19:00:00,1,walk,8,walk,4
59,2025-09-22 17:56:00,2025-09-22 19:00:00,1,taxi,19,walk,4
60,2025-09-22 18:06:00,2025-09-22 20:00:00,1,walk,8,walk,4
61,2025-09-22 18:56:00,2025-09-22 20:00:00,1,taxi,19,walk,4
62,2025-09-22 19:06:00,2025-09-22 21:00:00,1,walk,8,walk,4
63,2025-09-22 19:56:00,2025-09-22 21:00:00,1,taxi,19,walk,4
