,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-06-16 02:10:00,2025-06-16 05:13:00,3,taxi,15,walk,5
1,2025-06-16 02:21:00,2025-06-16 05:13:00,3,taxi,34,walk,5
2,2025-06-16 02:39:00,2025-06-16 05:43:00,3,taxi,33,walk,5
3,2025-06-16 03:08:00,2025-06-16 07:13:00,3,walk,5,walk,5
4,2025-06-16 03:15:00,2025-06-16 06:13:00,3,taxi,15,walk,5
5,2025-06-16 03:21:00,2025-06-16 06:13:00,3,taxi,34,walk,5
6,2025-06-16 04:15:00,2025-06-16 07:13:00,3,taxi,15,walk,5
7,2025-06-16 04:21:00,2025-06-16 07:13:00,3,taxi,34,walk,5
8,2025-06-16 04:43:00,2025-06-16 08:13:00,4,walk,5,walk,5
9,2025-06-16 04:43:00,2025-06-16 08:23:00,3,walk,5,walk,5
10,2025-06-16 05:00:00,2025-06-16 08:23:00,3,taxi,15,walk,5
11,2025-06-16 05:15:00,2025-06-16 08:13:00,4,taxi,15,walk,5
12,2025-06-16 05:15:00,2025-06-16 08:43:00,3,taxi,15,walk,5
13,2025-06-16 05:21:00,2025-06-16 08:13:00,4,taxi,34,walk,5
14,2025-06-16 05:43:00,2025-06-16 09:13:00,3,walk,5,walk,5
15,2025-06-16 06:08:00,2025-06-16 10:13:00,4,walk,5,walk,5
16,2025-06-16 06:08:00,2025-06-16 10:23:00,3,walk,5,walk,5
17,2025-06-16 06:15:00,2025-06-16 09:13:00,3,taxi,15,walk,5
18,2025-06-16 06:21:00,2025-06-16 09:13:00,3,taxi,34,walk,5
19,2025-06-16 07:00:00,2025-06-16 10:23:00,3,taxi,15,walk,5
20,2025-06-16 07:08:00,2025-06-16 11:13:00,3,walk,5,walk,5
21,2025-06-16 07:15:00,2025-06-16 10:13:00,4,taxi,15,walk,5
22,2025-06-16 07:15:00,2025-06-16 10:43:00,3,taxi,15,walk,5
23,2025-06-16 07:18:00,2025-06-16 11:18:00,6,walk,5,walk,5
24,2025-06-16 07:18:00,2025-06-16 11:23:00,5,walk,5,walk,5
25,2025-06-16 07:21:00,2025-06-16 10:13:00,4,taxi,34,walk,5
26,2025-06-16 07:21:00,2025-06-16 10:22:00,3,taxi,34,walk,6
27,2025-06-16 08:08:00,2025-06-16 12:13:00,4,walk,5,walk,5
28,2025-06-16 08:08:00,2025-06-16 12:23:00,3,walk,5,walk,5
29,2025-06-16 08:15:00,2025-06-16 11:13:00,3,taxi,15,walk,5
30,2025-06-16 08:21:00,2025-06-16 11:13:00,3,taxi,34,walk,5
31,2025-06-16 09:00:00,2025-06-16 12:23:00,3,taxi,15,walk,5
32,2025-06-16 09:08:00,2025-06-16 13:02:00,3,walk,5,walk,6
33,2025-06-16 09:14:00,2025-06-16 13:02:00,4,walk,5,walk,6
34,2025-06-16 09:15:00,2025-06-16 12:13:00,4,taxi,15,walk,5
35,2025-06-16 09:15:00,2025-06-16 12:43:00,3,taxi,15,walk,5
36,2025-06-16 09:21:00,2025-06-16 12:13:00,4,taxi,34,walk,5
37,2025-06-16 10:00:00,2025-06-16 13:02:00,3,taxi,15,walk,6
38,2025-06-16 10:08:00,2025-06-16 14:13:00,4,walk,5,walk,5
39,2025-06-16 10:08:00,2025-06-16 14:23:00,3,walk,5,walk,5
40,2025-06-16 10:15:00,2025-06-16 13:13:00,3,taxi,15,walk,5
41,2025-06-16 10:21:00,2025-06-16 13:13:00,3,taxi,34,walk,5
42,2025-06-16 10:29:00,2025-06-16 14:03:00,4,taxi,31,walk,5
43,2025-06-16 10:53:00,2025-06-16 14:13:00,5,walk,5,walk,5
44,2025-06-16 10:53:00,2025-06-16 14:23:00,4,walk,5,walk,5
45,2025-06-16 11:00:00,2025-06-16 14:23:00,3,taxi,15,walk,5
46,2025-06-16 11:08:00,2025-06-16 15:13:00,3,walk,5,walk,5
47,2025-06-16 11:15:00,2025-06-16 14:13:00,4,taxi,15,walk,5
48,2025-06-16 11:15:00,2025-06-16 14:43:00,3,taxi,15,walk,5
49,2025-06-16 11:21:00,2025-06-16 14:13:00,4,taxi,34,walk,5
50,2025-06-16 11:51:00,2025-06-16 14:43:00,4,taxi,34,walk,5
51,2025-06-16 11:53:00,2025-06-16 15:18:00,4,walk,5,walk,5
52,2025-06-16 11:53:00,2025-06-16 15:23:00,3,walk,5,walk,5
53,2025-06-16 12:08:00,2025-06-16 16:13:00,4,walk,5,walk,5
54,2025-06-16 12:08:00,2025-06-16 16:23:00,3,walk,5,walk,5
55,2025-06-16 12:15:00,2025-06-16 15:13:00,3,taxi,15,walk,5
56,2025-06-16 12:21:00,2025-06-16 15:13:00,3,taxi,34,walk,5
57,2025-06-16 12:29:00,2025-06-16 15:43:00,5,taxi,31,walk,5
58,2025-06-16 12:53:00,2025-06-16 16:18:00,5,walk,5,walk,5
