,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-06-16 02:10:00,2025-06-16 05:13:00,3,taxi,15,walk,5
1,2025-06-16 03:08:00,2025-06-16 07:13:00,3,walk,5,walk,5
2,2025-06-16 04:43:00,2025-06-16 08:13:00,4,walk,5,walk,5
3,2025-06-16 04:43:00,2025-06-16 08:23:00,3,walk,5,walk,5
4,2025-06-16 05:43:00,2025-06-16 09:13:00,3,walk,5,walk,5
5,2025-06-16 06:08:00,2025-06-16 10:13:00,4,walk,5,walk,5
6,2025-06-16 06:08:00,2025-06-16 10:23:00,3,walk,5,walk,5
7,2025-06-16 07:08:00,2025-06-16 11:13:00,3,walk,5,walk,5
8,2025-06-16 07:18:00,2025-06-16 11:18:00,6,walk,5,walk,5
9,2025-06-16 07:18:00,2025-06-16 11:23:00,5,walk,5,walk,5
10,2025-06-16 08:08:00,2025-06-16 12:13:00,4,walk,5,walk,5
11,2025-06-16 08:08:00,2025-06-16 12:23:00,3,walk,5,walk,5
12,2025-06-16 09:08:00,2025-06-16 13:02:00,3,walk,5,walk,6
13,2025-06-16 09:14:00,2025-06-16 13:02:00,4,walk,5,walk,6
14,2025-06-16 10:08:00,2025-06-16 14:13:00,4,walk,5,walk,5
15,2025-06-16 10:08:00,2025-06-16 14:23:00,3,walk,5,walk,5
16,2025-06-16 10:53:00,2025-06-16 14:13:00,5,walk,5,walk,5
17,2025-06-16 10:53:00,2025-06-16 14:23:00,4,walk,5,walk,5
18,2025-06-16 11:08:00,2025-06-16 15:13:00,3,walk,5,walk,5
19,2025-06-16 11:53:00,2025-06-16 15:18:00,4,walk,5,walk,5
20,2025-06-16 11:53:00,2025-06-16 15:23:00,3,walk,5,walk,5
21,2025-06-16 12:08:00,2025-06-16 16:13:00,4,walk,5,walk,5
22,2025-06-16 12:08:00,2025-06-16 16:23:00,3,walk,5,walk,5
23,2025-06-16 12:53:00,2025-06-16 16:18:00,5,walk,5,walk,5
24,2025-06-16 12:53:00,2025-06-16 16:23:00,4,walk,5,walk,5
25,2025-06-16 13:08:00,2025-06-16 17:12:00,3,walk,5,walk,5
26,2025-06-16 13:14:00,2025-06-16 17:18:00,5,walk,5,walk,5
27,2025-06-16 14:08:00,2025-06-16 18:16:00,4,walk,5,walk,5
28,2025-06-16 14:08:00,2025-06-16 18:18:00,3,walk,5,walk,5
29,2025-06-16 15:08:00,2025-06-16 19:16:00,3,walk,5,walk,5
30,2025-06-16 15:14:00,2025-06-16 19:16:00,6,walk,5,walk,5
31,2025-06-16 15:14:00,2025-06-16 19:18:00,5,walk,5,walk,5
32,2025-06-16 16:08:00,2025-06-16 20:16:00,5,walk,5,walk,5
33,2025-06-16 16:08:00,2025-06-16 20:18:00,4,walk,5,walk,5
34,2025-06-16 17:08:00,2025-06-16 21:10:00,3,walk,5,walk,5
35,2025-06-16 18:08:00,2025-06-16 22:11:00,3,walk,5,walk,5
36,2025-06-16 19:08:00,2025-06-16 23:44:00,3,walk,5,walk,8
37,2025-06-16 20:15:00,2025-06-16 23:44:00,3,taxi,15,walk,8
