,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-06-15 04:00:00,2025-06-15 07:18:00,5,taxi,15,walk,6
1,2025-06-15 04:00:00,2025-06-15 07:18:00,5,taxi,15,walk,6
2,2025-06-15 04:00:00,2025-06-15 07:20:00,4,taxi,15,walk,8
3,2025-06-15 04:00:00,2025-06-15 07:20:00,4,taxi,15,walk,8
4,2025-06-15 04:00:00,2025-06-15 08:18:00,3,taxi,15,walk,5
5,2025-06-15 04:00:00,2025-06-15 08:18:00,3,taxi,15,walk,5
6,2025-06-15 05:15:00,2025-06-15 08:46:00,3,taxi,15,walk,5
7,2025-06-15 06:00:00,2025-06-15 09:16:00,5,taxi,15,walk,5
8,2025-06-15 06:00:00,2025-06-15 09:18:00,4,taxi,15,walk,5
9,2025-06-15 06:08:00,2025-06-15 10:16:00,4,walk,5,walk,5
10,2025-06-15 06:08:00,2025-06-15 10:18:00,3,walk,5,walk,5
11,2025-06-15 06:18:00,2025-06-15 09:16:00,4,taxi,33,walk,5
12,2025-06-15 06:18:00,2025-06-15 09:18:00,3,taxi,33,walk,5
13,2025-06-15 06:21:00,2025-06-15 09:46:00,3,taxi,33,walk,5
14,2025-06-15 07:00:00,2025-06-15 10:16:00,4,taxi,15,walk,5
15,2025-06-15 07:00:00,2025-06-15 10:16:00,4,taxi,15,walk,5
16,2025-06-15 07:00:00,2025-06-15 10:18:00,3,taxi,15,walk,5
17,2025-06-15 07:00:00,2025-06-15 10:18:00,3,taxi,15,walk,5
18,2025-06-15 07:15:00,2025-06-15 10:46:00,3,taxi,15,walk,5
19,2025-06-15 08:08:00,2025-06-15 12:16:00,4,walk,5,walk,5
20,2025-06-15 08:08:00,2025-06-15 12:18:00,3,walk,5,walk,5
21,2025-06-15 08:15:00,2025-06-15 11:16:00,3,taxi,15,walk,5
22,2025-06-15 08:21:00,2025-06-15 11:16:00,3,taxi,34,walk,5
23,2025-06-15 08:32:00,2025-06-15 13:01:00,3,walk,5,walk,6
24,2025-06-15 09:00:00,2025-06-15 12:16:00,4,taxi,15,walk,5
25,2025-06-15 09:00:00,2025-06-15 12:16:00,4,taxi,15,walk,5
26,2025-06-15 09:00:00,2025-06-15 12:18:00,3,taxi,15,walk,5
27,2025-06-15 09:15:00,2025-06-15 12:46:00,3,taxi,15,walk,5
28,2025-06-15 10:00:00,2025-06-15 13:01:00,3,taxi,15,walk,6
29,2025-06-15 10:08:00,2025-06-15 14:16:00,4,walk,5,walk,5
30,2025-06-15 10:08:00,2025-06-15 14:18:00,3,walk,5,walk,5
31,2025-06-15 10:15:00,2025-06-15 13:16:00,3,taxi,15,walk,5
32,2025-06-15 10:21:00,2025-06-15 13:16:00,3,taxi,34,walk,5
33,2025-06-15 11:00:00,2025-06-15 14:16:00,4,taxi,15,walk,5
34,2025-06-15 11:00:00,2025-06-15 14:18:00,3,taxi,15,walk,5
35,2025-06-15 11:15:00,2025-06-15 14:46:00,3,taxi,15,walk,5
36,2025-06-15 12:08:00,2025-06-15 16:16:00,4,walk,5,walk,5
37,2025-06-15 12:08:00,2025-06-15 16:18:00,3,walk,5,walk,5
38,2025-06-15 12:15:00,2025-06-15 15:16:00,3,taxi,15,walk,5
39,2025-06-15 12:21:00,2025-06-15 15:16:00,3,taxi,34,walk,5
40,2025-06-15 13:00:00,2025-06-15 16:16:00,4,taxi,15,walk,5
41,2025-06-15 13:00:00,2025-06-15 16:16:00,4,taxi,15,walk,5
42,2025-06-15 13:00:00,2025-06-15 16:18:00,3,taxi,15,walk,5
43,2025-06-15 13:00:00,2025-06-15 16:18:00,3,taxi,15,walk,5
44,2025-06-15 13:15:00,2025-06-15 16:46:00,3,taxi,15,walk,5
45,2025-06-15 14:08:00,2025-06-15 18:16:00,4,walk,5,walk,5
46,2025-06-15 14:08:00,2025-06-15 18:18:00,3,walk,5,walk,5
47,2025-06-15 14:15:00,2025-06-15 17:16:00,3,taxi,15,walk,5
48,2025-06-15 14:21:00,2025-06-15 17:16:00,3,taxi,34,walk,5
49,2025-06-15 15:00:00,2025-06-15 18:16:00,4,taxi,15,walk,5
50,2025-06-15 15:00:00,2025-06-15 18:16:00,4,taxi,15,walk,5
51,2025-06-15 15:00:00,2025-06-15 18:18:00,3,taxi,15,walk,5
52,2025-06-15 15:15:00,2025-06-15 18:46:00,3,taxi,15,walk,5
53,2025-06-15 16:08:00,2025-06-15 20:18:00,5,walk,5,walk,6
54,2025-06-15 16:08:00,2025-06-15 20:20:00,4,walk,5,walk,8
55,2025-06-15 16:08:00,2025-06-15 21:10:00,3,walk,5,walk,5
56,2025-06-15 16:15:00,2025-06-15 19:16:00,3,taxi,15,walk,5
57,2025-06-15 16:18:00,2025-06-15 19:16:00,4,taxi,33,walk,5
58,2025-06-15 16:18:00,2025-06-15 19:18:00,3,taxi,33,walk,5
59,2025-06-15 16:21:00,2025-06-15 19:40:00,3,taxi,33,walk,5
60,2025-06-15 17:00:00,2025-06-15 20:18:00,5,taxi,15,walk,6
61,2025-06-15 17:00:00,2025-06-15 20:20:00,4,taxi,15,walk,8
62,2025-06-15 17:00:00,2025-06-15 20:20:00,4,taxi,15,walk,8
63,2025-06-15 18:00:00,2025-06-15 21:45:00,5,taxi,15,walk,6
64,2025-06-15 18:15:00,2025-06-15 21:10:00,3,taxi,15,walk,5
65,2025-06-15 19:00:00,2025-06-15 22:59:00,6,taxi,15,walk,6
66,2025-06-15 19:15:00,2025-06-15 22:11:00,3,taxi,15,walk,5
67,2025-06-15 20:00:00,2025-06-16 00:50:00,5,taxi,15,walk,8
68,2025-06-15 20:15:00,2025-06-15 23:44:00,3,taxi,15,walk,8
