,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-06-15 04:00:00,2025-06-15 07:20:00,4,taxi,15,walk,8
1,2025-06-15 04:00:00,2025-06-15 07:20:00,4,taxi,15,walk,8
2,2025-06-15 05:15:00,2025-06-15 08:46:00,3,taxi,15,walk,5
3,2025-06-15 06:08:00,2025-06-15 10:16:00,4,walk,5,walk,5
4,2025-06-15 06:08:00,2025-06-15 10:18:00,3,walk,5,walk,5
5,2025-06-15 08:08:00,2025-06-15 12:16:00,4,walk,5,walk,5
6,2025-06-15 08:08:00,2025-06-15 12:18:00,3,walk,5,walk,5
7,2025-06-15 08:32:00,2025-06-15 13:01:00,3,walk,5,walk,6
8,2025-06-15 10:00:00,2025-06-15 13:01:00,3,taxi,15,walk,6
9,2025-06-15 10:08:00,2025-06-15 14:16:00,4,walk,5,walk,5
10,2025-06-15 10:08:00,2025-06-15 14:18:00,3,walk,5,walk,5
11,2025-06-15 12:08:00,2025-06-15 16:16:00,4,walk,5,walk,5
12,2025-06-15 12:08:00,2025-06-15 16:18:00,3,walk,5,walk,5
13,2025-06-15 14:08:00,2025-06-15 18:16:00,4,walk,5,walk,5
14,2025-06-15 14:08:00,2025-06-15 18:18:00,3,walk,5,walk,5
15,2025-06-15 16:08:00,2025-06-15 20:18:00,5,walk,5,walk,6
16,2025-06-15 16:08:00,2025-06-15 20:20:00,4,walk,5,walk,8
17,2025-06-15 16:08:00,2025-06-15 21:10:00,3,walk,5,walk,5
18,2025-06-15 18:15:00,2025-06-15 21:10:00,3,taxi,15,walk,5
19,2025-06-15 19:15:00,2025-06-15 22:11:00,3,taxi,15,walk,5
20,2025-06-15 20:15:00,2025-06-15 23:44:00,3,taxi,15,walk,8
