,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-22 02:00:00,2025-09-22 02:30:00,0,taxi,30,walk,0
1,2025-09-22 02:05:00,2025-09-22 02:35:00,0,taxi,30,walk,0
2,2025-09-22 02:10:00,2025-09-22 02:40:00,0,taxi,30,walk,0
3,2025-09-22 02:15:00,2025-09-22 02:45:00,0,taxi,30,walk,0
4,2025-09-22 02:20:00,2025-09-22 02:50:00,0,taxi,30,walk,0
5,2025-09-22 02:25:00,2025-09-22 02:55:00,0,taxi,30,walk,0
6,2025-09-22 02:30:00,2025-09-22 03:00:00,0,taxi,30,walk,0
7,2025-09-22 02:35:00,2025-09-22 03:05:00,0,taxi,30,walk,0
8,2025-09-22 02:40:00,2025-09-22 03:10:00,0,taxi,30,walk,0
9,2025-09-22 02:45:00,2025-09-22 03:15:00,0,taxi,30,walk,0
10,2025-09-22 02:50:00,2025-09-22 03:20:00,0,taxi,30,walk,0
11,2025-09-22 02:55:00,2025-09-22 03:25:00,0,taxi,30,walk,0
12,2025-09-22 03:00:00,2025-09-22 03:30:00,0,taxi,30,walk,0
13,2025-09-22 03:05:00,2025-09-22 03:35:00,0,taxi,30,walk,0
14,2025-09-22 03:08:00,2025-09-22 03:49:00,1,walk,5,taxi,25
15,2025-09-22 03:08:00,2025-09-22 04:46:00,1,walk,5,walk,14
16,2025-09-22 03:10:00,2025-09-22 03:40:00,0,taxi,30,walk,0
17,2025-09-22 03:15:00,2025-09-22 03:45:00,0,taxi,30,walk,0
18,2025-09-22 03:20:00,2025-09-22 03:50:00,0,taxi,30,walk,0
19,2025-09-22 03:25:00,2025-09-22 03:55:00,0,taxi,30,walk,0
20,2025-09-22 03:30:00,2025-09-22 04:00:00,0,taxi,30,walk,0
21,2025-09-22 03:35:00,2025-09-22 04:05:00,0,taxi,30,walk,0
22,2025-09-22 03:40:00,2025-09-22 04:10:00,0,taxi,30,walk,0
23,2025-09-22 03:42:00,2025-09-22 04:30:00,1,walk,14,taxi,28
24,2025-09-22 03:45:00,2025-09-22 04:15:00,0,taxi,30,walk,0
25,2025-09-22 03:48:00,2025-09-22 04:36:00,1,taxi,27,walk,14
26,2025-09-22 03:50:00,2025-09-22 04:20:00,0,taxi,30,walk,0
27,2025-09-22 03:50:00,2025-09-22 04:46:00,1,taxi,13,walk,14
28,2025-09-22 03:50:00,2025-09-22 04:46:00,1,taxi,13,walk,14
29,2025-09-22 03:55:00,2025-09-22 04:25:00,0,taxi,30,walk,0
30,2025-09-22 04:00:00,2025-09-22 04:30:00,0,taxi,30,walk,0
31,2025-09-22 04:05:00,2025-09-22 04:35:00,0,taxi,30,walk,0
32,2025-09-22 04:08:00,2025-09-22 04:49:00,1,walk,5,taxi,25
33,2025-09-22 04:10:00,2025-09-22 04:40:00,0,taxi,30,walk,0
34,2025-09-22 04:11:00,2025-09-22 04:52:00,1,walk,7,taxi,28
35,2025-09-22 04:15:00,2025-09-22 04:45:00,0,taxi,30,walk,0
36,2025-09-22 04:20:00,2025-09-22 04:50:00,0,taxi,30,walk,0
37,2025-09-22 04:25:00,2025-09-22 04:55:00,0,taxi,30,walk,0
38,2025-09-22 04:30:00,2025-09-22 05:00:00,0,taxi,30,walk,0
39,2025-09-22 04:35:00,2025-09-22 05:05:00,0,taxi,30,walk,0
40,2025-09-22 04:38:00,2025-09-22 05:18:00,1,walk,5,taxi,25
41,2025-09-22 04:38:00,2025-09-22 05:19:00,1,walk,5,taxi,25
42,2025-09-22 04:40:00,2025-09-22 05:10:00,0,taxi,30,walk,0
43,2025-09-22 04:43:00,2025-09-22 05:22:00,1,walk,5,taxi,28
44,2025-09-22 04:43:00,2025-09-22 05:51:00,2,walk,5,taxi,18
45,2025-09-22 04:45:00,2025-09-22 05:15:00,0,taxi,30,walk,0
46,2025-09-22 04:48:00,2025-09-22 05:36:00,1,taxi,27,walk,14
47,2025-09-22 04:50:00,2025-09-22 05:20:00,0,taxi,30,walk,0
48,2025-09-22 04:55:00,2025-09-22 05:25:00,0,taxi,30,walk,0
49,2025-09-22 05:00:00,2025-09-22 05:30:00,0,taxi,30,walk,0
50,2025-09-22 05:01:00,2025-09-22 05:43:00,1,walk,7,taxi,28
51,2025-09-22 05:05:00,2025-09-22 05:35:00,0,taxi,30,walk,0
