,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-22 02:00:00,2025-09-22 02:30:00,0,taxi,30,walk,0
1,2025-09-22 03:08:00,2025-09-22 04:46:00,1,walk,5,walk,14
2,2025-09-22 05:43:00,2025-09-22 06:46:00,1,walk,5,walk,14
3,2025-09-22 08:08:00,2025-09-22 09:17:00,1,walk,5,walk,14
4,2025-09-22 09:53:00,2025-09-22 10:46:00,1,walk,5,walk,14
5,2025-09-22 10:53:00,2025-09-22 11:46:00,1,walk,5,walk,14
6,2025-09-22 11:53:00,2025-09-22 12:46:00,1,walk,5,walk,14
7,2025-09-22 12:53:00,2025-09-22 13:46:00,1,walk,5,walk,14
8,2025-09-22 14:08:00,2025-09-22 15:48:00,1,walk,5,walk,14
9,2025-09-22 15:08:00,2025-09-22 16:46:00,1,walk,5,walk,14
10,2025-09-22 17:08:00,2025-09-22 17:49:00,1,walk,5,taxi,25
11,2025-09-22 17:08:00,2025-09-23 04:36:00,3,walk,5,walk,14
12,2025-09-22 18:08:00,2025-09-22 18:49:00,1,walk,5,taxi,25
13,2025-09-22 19:08:00,2025-09-22 19:49:00,1,walk,5,taxi,25
14,2025-09-22 20:35:00,2025-09-22 21:05:00,0,taxi,30,walk,0
