,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-22 03:00:00,2025-09-22 04:04:00,1,walk,3,walk,8
1,2025-09-22 03:05:00,2025-09-22 05:45:00,3,walk,2,walk,15
2,2025-09-22 03:59:00,2025-09-22 05:53:00,2,walk,4,walk,8
3,2025-09-22 04:59:00,2025-09-22 06:04:00,1,walk,4,walk,8
4,2025-09-22 05:59:00,2025-09-22 07:04:00,1,walk,4,walk,8
5,2025-09-22 06:59:00,2025-09-22 08:04:00,1,walk,4,walk,8
6,2025-09-22 07:04:00,2025-09-22 09:02:00,2,walk,4,walk,15
7,2025-09-22 07:59:00,2025-09-22 09:04:00,1,walk,4,walk,8
8,2025-09-22 08:59:00,2025-09-22 10:04:00,1,walk,4,walk,8
9,2025-09-22 09:04:00,2025-09-22 11:02:00,1,walk,4,walk,15
10,2025-09-22 09:05:00,2025-09-22 11:02:00,2,walk,2,walk,15
11,2025-09-22 09:59:00,2025-09-22 11:04:00,1,walk,4,walk,8
12,2025-09-22 10:59:00,2025-09-22 12:04:00,1,walk,4,walk,8
13,2025-09-22 11:04:00,2025-09-22 13:02:00,1,walk,4,walk,15
14,2025-09-22 11:05:00,2025-09-22 13:02:00,2,walk,2,walk,15
15,2025-09-22 11:59:00,2025-09-22 13:04:00,1,walk,4,walk,8
16,2025-09-22 12:59:00,2025-09-22 14:04:00,1,walk,4,walk,8
17,2025-09-22 13:04:00,2025-09-22 15:02:00,1,walk,4,walk,15
18,2025-09-22 13:59:00,2025-09-22 15:04:00,1,walk,4,walk,8
19,2025-09-22 14:04:00,2025-09-22 16:00:00,1,walk,4,walk,15
20,2025-09-22 14:05:00,2025-09-22 16:00:00,2,walk,2,walk,15
21,2025-09-22 15:59:00,2025-09-22 17:04:00,1,walk,4,walk,8
22,2025-09-22 16:59:00,2025-09-22 18:04:00,1,walk,4,walk,8
23,2025-09-22 17:59:00,2025-09-22 19:04:00,1,walk,4,walk,8
24,2025-09-22 18:59:00,2025-09-22 19:58:00,1,walk,4,taxi,18
25,2025-09-22 20:00:00,2025-09-22 20:58:00,1,walk,4,taxi,18
