departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-09-22 03:00, 2025-09-22 04:04, 1, walk, 03, walk, 08
2025-09-22 03:05, 2025-09-22 05:45, 3, walk, 02, walk, 15
2025-09-22 03:59, 2025-09-22 05:53, 2, walk, 04, walk, 08
2025-09-22 04:59, 2025-09-22 06:04, 1, walk, 04, walk, 08
2025-09-22 05:59, 2025-09-22 07:04, 1, walk, 04, walk, 08
2025-09-22 06:59, 2025-09-22 08:04, 1, walk, 04, walk, 08
2025-09-22 07:04, 2025-09-22 09:02, 2, walk, 04, walk, 15
2025-09-22 07:59, 2025-09-22 09:04, 1, walk, 04, walk, 08
2025-09-22 08:59, 2025-09-22 10:04, 1, walk, 04, walk, 08
2025-09-22 09:04, 2025-09-22 11:02, 1, walk, 04, walk, 15
2025-09-22 09:05, 2025-09-22 11:02, 2, walk, 02, walk, 15
2025-09-22 09:59, 2025-09-22 11:04, 1, walk, 04, walk, 08
2025-09-22 10:59, 2025-09-22 12:04, 1, walk, 04, walk, 08
2025-09-22 11:04, 2025-09-22 13:02, 1, walk, 04, walk, 15
2025-09-22 11:05, 2025-09-22 13:02, 2, walk, 02, walk, 15
2025-09-22 11:59, 2025-09-22 13:04, 1, walk, 04, walk, 08
2025-09-22 12:59, 2025-09-22 14:04, 1, walk, 04, walk, 08
2025-09-22 13:04, 2025-09-22 15:02, 1, walk, 04, walk, 15
2025-09-22 13:59, 2025-09-22 15:04, 1, walk, 04, walk, 08
2025-09-22 14:04, 2025-09-22 16:00, 1, walk, 04, walk, 15
2025-09-22 14:05, 2025-09-22 16:00, 2, walk, 02, walk, 15
2025-09-22 15:59, 2025-09-22 17:04, 1, walk, 04, walk, 08
2025-09-22 16:59, 2025-09-22 18:04, 1, walk, 04, walk, 08
2025-09-22 17:59, 2025-09-22 19:04, 1, walk, 04, walk, 08
2025-09-22 18:59, 2025-09-22 19:58, 0, walk, 04, taxi, 18
2025-09-22 20:00, 2025-09-22 20:58, 0, walk, 04, taxi, 18
