,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-22 03:11:00,2025-09-22 04:44:00,1,walk,1,taxi,43
1,2025-09-22 03:42:00,2025-09-22 04:43:00,1,walk,1,taxi,18
2,2025-09-22 03:42:00,2025-09-22 04:57:00,2,walk,1,taxi,11
3,2025-09-22 07:42:00,2025-09-22 08:43:00,1,walk,1,taxi,18
4,2025-09-22 12:19:00,2025-09-22 13:43:00,1,walk,1,taxi,43
5,2025-09-22 12:42:00,2025-09-22 13:43:00,1,walk,1,taxi,18
6,2025-09-22 12:42:00,2025-09-22 13:43:00,1,walk,1,taxi,18
7,2025-09-22 12:42:00,2025-09-22 14:00:00,2,walk,1,taxi,14
8,2025-09-22 14:19:00,2025-09-22 15:43:00,1,walk,1,taxi,43
9,2025-09-22 14:42:00,2025-09-22 15:43:00,1,walk,1,taxi,18
10,2025-09-22 14:42:00,2025-09-22 15:57:00,2,walk,1,taxi,14
