,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-22 01:07:00,2025-09-22 02:42:00,2,walk,3,taxi,18
1,2025-09-22 01:57:00,2025-09-22 03:37:00,2,walk,3,taxi,18
2,2025-09-22 01:57:00,2025-09-22 04:04:00,2,walk,3,walk,8
3,2025-09-22 03:11:00,2025-09-22 04:44:00,1,walk,1,taxi,43
4,2025-09-22 03:42:00,2025-09-22 04:43:00,1,walk,1,taxi,18
5,2025-09-22 03:42:00,2025-09-22 04:57:00,2,walk,1,taxi,11
6,2025-09-22 03:42:00,2025-09-22 04:59:00,1,walk,1,walk,8
7,2025-09-22 04:18:00,2025-09-22 05:43:00,1,walk,2,taxi,43
8,2025-09-22 04:42:00,2025-09-22 05:43:00,1,walk,1,taxi,18
9,2025-09-22 04:42:00,2025-09-22 05:57:00,2,walk,1,taxi,14
10,2025-09-22 04:42:00,2025-09-22 06:04:00,1,walk,1,walk,8
11,2025-09-22 04:59:00,2025-09-22 07:08:00,2,walk,6,taxi,43
12,2025-09-22 05:42:00,2025-09-22 06:43:00,1,walk,1,taxi,18
13,2025-09-22 05:42:00,2025-09-22 07:04:00,1,walk,1,walk,8
14,2025-09-22 06:19:00,2025-09-22 07:43:00,1,walk,1,taxi,43
15,2025-09-22 06:42:00,2025-09-22 07:43:00,1,walk,1,taxi,18
16,2025-09-22 06:42:00,2025-09-22 07:43:00,1,walk,1,taxi,18
17,2025-09-22 06:42:00,2025-09-22 07:57:00,2,walk,1,taxi,14
18,2025-09-22 06:42:00,2025-09-22 08:04:00,1,walk,1,walk,8
19,2025-09-22 07:42:00,2025-09-22 08:43:00,1,walk,1,taxi,18
20,2025-09-22 07:42:00,2025-09-22 09:04:00,1,walk,1,walk,8
21,2025-09-22 08:19:00,2025-09-22 09:43:00,1,walk,1,taxi,43
22,2025-09-22 08:42:00,2025-09-22 09:43:00,1,walk,1,taxi,18
23,2025-09-22 08:42:00,2025-09-22 09:43:00,1,walk,1,taxi,18
24,2025-09-22 08:42:00,2025-09-22 09:57:00,2,walk,1,taxi,14
25,2025-09-22 08:42:00,2025-09-22 10:04:00,1,walk,1,walk,8
26,2025-09-22 09:42:00,2025-09-22 10:43:00,1,walk,1,taxi,18
27,2025-09-22 09:42:00,2025-09-22 11:04:00,1,walk,1,walk,8
28,2025-09-22 10:19:00,2025-09-22 11:43:00,1,walk,1,taxi,43
29,2025-09-22 10:42:00,2025-09-22 11:43:00,1,walk,1,taxi,18
30,2025-09-22 10:42:00,2025-09-22 11:43:00,1,walk,1,taxi,18
31,2025-09-22 10:42:00,2025-09-22 12:00:00,2,walk,1,taxi,14
32,2025-09-22 10:42:00,2025-09-22 12:04:00,1,walk,1,walk,8
33,2025-09-22 10:59:00,2025-09-22 13:08:00,2,walk,6,taxi,43
34,2025-09-22 11:42:00,2025-09-22 12:43:00,1,walk,1,taxi,18
35,2025-09-22 11:42:00,2025-09-22 12:43:00,1,walk,1,taxi,18
36,2025-09-22 11:42:00,2025-09-22 13:00:00,2,walk,1,taxi,14
37,2025-09-22 11:42:00,2025-09-22 13:04:00,1,walk,1,walk,8
38,2025-09-22 12:19:00,2025-09-22 13:43:00,1,walk,1,taxi,43
39,2025-09-22 12:42:00,2025-09-22 13:43:00,1,walk,1,taxi,18
40,2025-09-22 12:42:00,2025-09-22 13:43:00,1,walk,1,taxi,18
41,2025-09-22 12:42:00,2025-09-22 14:00:00,2,walk,1,taxi,14
42,2025-09-22 12:42:00,2025-09-22 14:04:00,1,walk,1,walk,8
43,2025-09-22 12:59:00,2025-09-22 15:08:00,2,walk,6,taxi,43
44,2025-09-22 13:42:00,2025-09-22 14:43:00,1,walk,1,taxi,18
45,2025-09-22 13:42:00,2025-09-22 15:04:00,1,walk,1,walk,8
46,2025-09-22 14:19:00,2025-09-22 15:43:00,1,walk,1,taxi,43
47,2025-09-22 14:42:00,2025-09-22 15:43:00,1,walk,1,taxi,18
48,2025-09-22 14:42:00,2025-09-22 15:57:00,2,walk,1,taxi,14
49,2025-09-22 14:42:00,2025-09-22 16:04:00,1,walk,1,walk,8
50,2025-09-22 15:42:00,2025-09-22 16:43:00,1,walk,1,taxi,18
51,2025-09-22 15:42:00,2025-09-22 17:04:00,1,walk,1,walk,8
52,2025-09-22 16:19:00,2025-09-22 17:43:00,1,walk,1,taxi,43
53,2025-09-22 16:42:00,2025-09-22 17:43:00,1,walk,1,taxi,18
54,2025-09-22 16:42:00,2025-09-22 17:57:00,2,walk,1,taxi,14
55,2025-09-22 16:42:00,2025-09-22 18:04:00,1,walk,1,walk,8
56,2025-09-22 17:42:00,2025-09-22 18:43:00,1,walk,1,taxi,18
57,2025-09-22 17:42:00,2025-09-22 19:04:00,1,walk,1,walk,8
58,2025-09-22 18:27:00,2025-09-22 19:51:00,1,walk,1,taxi,43
59,2025-09-22 18:42:00,2025-09-22 19:43:00,1,walk,1,taxi,18
60,2025-09-22 19:42:00,2025-09-22 20:43:00,1,walk,1,taxi,18
61,2025-09-22 19:42:00,2025-09-23 04:04:00,1,walk,1,walk,8
