,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-22 01:07:00,2025-09-22 02:42:00,2,walk,3,taxi,18
1,2025-09-22 01:57:00,2025-09-22 04:04:00,2,walk,3,walk,8
2,2025-09-22 03:42:00,2025-09-22 04:59:00,1,walk,1,walk,8
3,2025-09-22 04:42:00,2025-09-22 06:04:00,1,walk,1,walk,8
4,2025-09-22 05:42:00,2025-09-22 07:04:00,1,walk,1,walk,8
5,2025-09-22 06:42:00,2025-09-22 08:04:00,1,walk,1,walk,8
6,2025-09-22 07:42:00,2025-09-22 09:04:00,1,walk,1,walk,8
7,2025-09-22 08:42:00,2025-09-22 10:04:00,1,walk,1,walk,8
8,2025-09-22 09:42:00,2025-09-22 11:04:00,1,walk,1,walk,8
9,2025-09-22 10:42:00,2025-09-22 12:04:00,1,walk,1,walk,8
10,2025-09-22 11:42:00,2025-09-22 13:04:00,1,walk,1,walk,8
11,2025-09-22 12:42:00,2025-09-22 14:04:00,1,walk,1,walk,8
12,2025-09-22 13:42:00,2025-09-22 15:04:00,1,walk,1,walk,8
13,2025-09-22 14:42:00,2025-09-22 16:04:00,1,walk,1,walk,8
14,2025-09-22 15:42:00,2025-09-22 17:04:00,1,walk,1,walk,8
15,2025-09-22 16:42:00,2025-09-22 18:04:00,1,walk,1,walk,8
16,2025-09-22 17:42:00,2025-09-22 19:04:00,1,walk,1,walk,8
17,2025-09-22 18:42:00,2025-09-22 19:43:00,1,walk,1,taxi,18
18,2025-09-22 19:42:00,2025-09-22 20:43:00,1,walk,1,taxi,18
19,2025-09-22 19:42:00,2025-09-23 04:04:00,1,walk,1,walk,8
