departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-09-29 02:00, 2025-09-29 02:36, 0, taxi, 36, walk, 00
2025-09-29 02:05, 2025-09-29 02:41, 0, taxi, 36, walk, 00
2025-09-29 02:10, 2025-09-29 02:46, 0, taxi, 36, walk, 00
2025-09-29 02:15, 2025-09-29 02:51, 0, taxi, 36, walk, 00
2025-09-29 02:20, 2025-09-29 02:56, 0, taxi, 36, walk, 00
2025-09-29 02:25, 2025-09-29 03:01, 0, taxi, 36, walk, 00
2025-09-29 02:30, 2025-09-29 03:06, 0, taxi, 36, walk, 00
2025-09-29 02:33, 2025-09-29 03:28, 1, taxi, 35, walk, 14
2025-09-29 02:35, 2025-09-29 03:11, 0, taxi, 36, walk, 00
2025-09-29 02:40, 2025-09-29 03:16, 0, taxi, 36, walk, 00
2025-09-29 02:45, 2025-09-29 03:21, 0, taxi, 36, walk, 00
2025-09-29 02:50, 2025-09-29 03:26, 0, taxi, 36, walk, 00
2025-09-29 02:55, 2025-09-29 03:31, 0, taxi, 36, walk, 00
2025-09-29 03:00, 2025-09-29 03:36, 0, taxi, 36, walk, 00
2025-09-29 03:05, 2025-09-29 03:41, 0, taxi, 36, walk, 00
2025-09-29 03:10, 2025-09-29 03:46, 0, taxi, 36, walk, 00
2025-09-29 03:13, 2025-09-29 04:03, 1, taxi, 32, walk, 06
2025-09-29 03:13, 2025-09-29 04:06, 1, taxi, 32, walk, 08
2025-09-29 03:15, 2025-09-29 03:51, 0, taxi, 36, walk, 00
2025-09-29 03:16, 2025-09-29 04:03, 1, taxi, 32, walk, 06
2025-09-29 03:20, 2025-09-29 03:56, 0, taxi, 36, walk, 00
2025-09-29 03:25, 2025-09-29 04:01, 0, taxi, 36, walk, 00
2025-09-29 03:30, 2025-09-29 04:06, 0, taxi, 36, walk, 00
2025-09-29 03:33, 2025-09-29 04:28, 1, taxi, 35, walk, 14
2025-09-29 03:35, 2025-09-29 04:11, 0, taxi, 36, walk, 00
2025-09-29 03:40, 2025-09-29 04:16, 0, taxi, 36, walk, 00
2025-09-29 03:43, 2025-09-29 04:32, 1, taxi, 35, walk, 08
2025-09-29 03:45, 2025-09-29 04:21, 0, taxi, 36, walk, 00
2025-09-29 03:50, 2025-09-29 04:26, 0, taxi, 36, walk, 00
2025-09-29 03:55, 2025-09-29 04:31, 0, taxi, 36, walk, 00
2025-09-29 04:00, 2025-09-29 04:36, 0, taxi, 36, walk, 00
2025-09-29 04:05, 2025-09-29 04:41, 0, taxi, 36, walk, 00
2025-09-29 04:09, 2025-09-29 04:57, 1, walk, 03, taxi, 12
2025-09-29 04:09, 2025-09-29 05:52, 1, walk, 03, walk, 06
2025-09-29 04:10, 2025-09-29 04:46, 0, taxi, 36, walk, 00
2025-09-29 04:12, 2025-09-29 04:58, 1, taxi, 34, walk, 06
2025-09-29 04:15, 2025-09-29 04:51, 0, taxi, 36, walk, 00
2025-09-29 04:20, 2025-09-29 04:56, 0, taxi, 36, walk, 00
2025-09-29 04:25, 2025-09-29 05:01, 0, taxi, 36, walk, 00
2025-09-29 04:30, 2025-09-29 05:06, 0, taxi, 36, walk, 00
2025-09-29 04:30, 2025-09-29 05:26, 1, taxi, 35, walk, 14
2025-09-29 04:35, 2025-09-29 05:11, 0, taxi, 36, walk, 00
2025-09-29 04:38, 2025-09-29 05:27, 1, taxi, 35, walk, 08
2025-09-29 04:40, 2025-09-29 05:16, 0, taxi, 36, walk, 00
2025-09-29 04:45, 2025-09-29 05:21, 0, taxi, 36, walk, 00
2025-09-29 04:50, 2025-09-29 05:26, 0, taxi, 36, walk, 00
2025-09-29 04:55, 2025-09-29 05:31, 0, taxi, 36, walk, 00
2025-09-29 05:00, 2025-09-29 05:36, 0, taxi, 36, walk, 00
2025-09-29 05:05, 2025-09-29 05:41, 0, taxi, 36, walk, 00
2025-09-29 05:06, 2025-09-29 05:52, 1, taxi, 31, walk, 06
2025-09-29 05:09, 2025-09-29 05:57, 1, walk, 03, taxi, 12
2025-09-29 05:09, 2025-09-29 06:03, 1, walk, 03, walk, 06
2025-09-29 05:10, 2025-09-29 05:46, 0, taxi, 36, walk, 00
2025-09-29 05:13, 2025-09-29 06:03, 1, taxi, 32, walk, 06
2025-09-29 05:13, 2025-09-29 06:06, 1, taxi, 32, walk, 08
2025-09-29 05:15, 2025-09-29 05:51, 0, taxi, 36, walk, 00
2025-09-29 05:16, 2025-09-29 06:03, 1, taxi, 32, walk, 06
2025-09-29 05:20, 2025-09-29 05:56, 0, taxi, 36, walk, 00
2025-09-29 05:25, 2025-09-29 06:01, 0, taxi, 36, walk, 00
2025-09-29 05:30, 2025-09-29 06:06, 0, taxi, 36, walk, 00
2025-09-29 05:33, 2025-09-29 06:28, 1, taxi, 35, walk, 14
2025-09-29 05:35, 2025-09-29 06:11, 0, taxi, 36, walk, 00
2025-09-29 05:40, 2025-09-29 06:16, 0, taxi, 36, walk, 00
