,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-22 01:59:00,2025-09-22 02:58:00,1,taxi,16,walk,5
1,2025-09-22 02:54:00,2025-09-22 04:02:00,1,taxi,21,walk,5
2,2025-09-22 03:07:00,2025-09-22 05:01:00,1,walk,6,walk,5
3,2025-09-22 03:54:00,2025-09-22 05:01:00,1,taxi,21,walk,5
4,2025-09-22 04:18:00,2025-09-22 05:52:00,2,walk,5,walk,1
5,2025-09-22 04:42:00,2025-09-22 06:01:00,1,walk,6,walk,5
6,2025-09-22 04:54:00,2025-09-22 06:01:00,1,taxi,21,walk,5
7,2025-09-22 05:13:00,2025-09-22 06:52:00,2,walk,5,walk,1
8,2025-09-22 05:42:00,2025-09-22 07:01:00,1,walk,6,walk,5
9,2025-09-22 05:54:00,2025-09-22 07:01:00,1,taxi,21,walk,5
10,2025-09-22 06:07:00,2025-09-22 08:01:00,1,walk,6,walk,5
11,2025-09-22 06:54:00,2025-09-22 08:01:00,1,taxi,21,walk,5
12,2025-09-22 07:07:00,2025-09-22 09:01:00,1,walk,6,walk,5
13,2025-09-22 07:18:00,2025-09-22 08:52:00,2,walk,5,walk,1
14,2025-09-22 07:54:00,2025-09-22 09:01:00,1,taxi,21,walk,5
15,2025-09-22 08:07:00,2025-09-22 10:01:00,1,walk,6,walk,5
16,2025-09-22 08:54:00,2025-09-22 10:01:00,1,taxi,21,walk,5
17,2025-09-22 09:07:00,2025-09-22 11:01:00,1,walk,6,walk,5
18,2025-09-22 09:14:00,2025-09-22 10:52:00,2,walk,5,walk,1
19,2025-09-22 09:54:00,2025-09-22 11:01:00,1,taxi,21,walk,5
20,2025-09-22 10:07:00,2025-09-22 12:01:00,1,walk,6,walk,5
21,2025-09-22 10:54:00,2025-09-22 12:01:00,1,taxi,21,walk,5
22,2025-09-22 11:07:00,2025-09-22 13:01:00,1,walk,6,walk,5
23,2025-09-22 11:14:00,2025-09-22 12:52:00,2,walk,5,walk,1
24,2025-09-22 11:54:00,2025-09-22 13:01:00,1,taxi,21,walk,5
25,2025-09-22 12:07:00,2025-09-22 14:01:00,1,walk,6,walk,5
26,2025-09-22 12:54:00,2025-09-22 14:01:00,1,taxi,21,walk,5
27,2025-09-22 13:07:00,2025-09-22 15:01:00,1,walk,6,walk,5
28,2025-09-22 13:14:00,2025-09-22 14:52:00,2,walk,5,walk,1
29,2025-09-22 13:54:00,2025-09-22 15:01:00,1,taxi,21,walk,5
30,2025-09-22 14:07:00,2025-09-22 16:01:00,1,walk,6,walk,5
31,2025-09-22 14:54:00,2025-09-22 16:01:00,1,taxi,21,walk,5
32,2025-09-22 15:07:00,2025-09-22 17:01:00,1,walk,6,walk,5
33,2025-09-22 15:14:00,2025-09-22 16:52:00,2,walk,5,walk,1
34,2025-09-22 15:54:00,2025-09-22 17:01:00,1,taxi,21,walk,5
35,2025-09-22 15:59:00,2025-09-22 17:52:00,1,walk,5,walk,1
36,2025-09-22 16:07:00,2025-09-22 18:01:00,1,walk,6,walk,5
37,2025-09-22 16:54:00,2025-09-22 18:01:00,1,taxi,21,walk,5
38,2025-09-22 17:07:00,2025-09-22 19:01:00,1,walk,6,walk,5
39,2025-09-22 17:54:00,2025-09-22 19:01:00,1,taxi,21,walk,5
40,2025-09-22 18:07:00,2025-09-22 20:01:00,1,walk,6,walk,5
41,2025-09-22 18:54:00,2025-09-22 20:01:00,1,taxi,21,walk,5
42,2025-09-22 19:07:00,2025-09-22 21:01:00,1,walk,6,walk,5
43,2025-09-22 19:54:00,2025-09-22 21:01:00,1,taxi,21,walk,5
