departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-09-29 02:00, 2025-09-29 02:24, 0, taxi, 24, walk, 00
2025-09-29 02:40, 2025-09-29 03:04, 0, taxi, 24, walk, 00
2025-09-29 03:20, 2025-09-29 03:44, 0, taxi, 24, walk, 00
2025-09-29 03:27, 2025-09-29 04:03, 1, taxi, 19, walk, 06
2025-09-29 04:00, 2025-09-29 04:24, 0, taxi, 24, walk, 00
2025-09-29 04:21, 2025-09-29 04:57, 1, walk, 03, taxi, 12
2025-09-29 04:21, 2025-09-29 05:52, 1, walk, 03, walk, 06
2025-09-29 04:24, 2025-09-29 04:58, 1, taxi, 22, walk, 06
2025-09-29 04:40, 2025-09-29 05:04, 0, taxi, 24, walk, 00
2025-09-29 05:16, 2025-09-29 05:52, 1, taxi, 19, walk, 06
2025-09-29 05:20, 2025-09-29 05:44, 0, taxi, 24, walk, 00
2025-09-29 05:21, 2025-09-29 05:57, 1, walk, 03, taxi, 12
2025-09-29 05:21, 2025-09-29 06:03, 1, walk, 03, walk, 06
2025-09-29 05:27, 2025-09-29 06:03, 1, taxi, 19, walk, 06
2025-09-29 06:00, 2025-09-29 06:24, 0, taxi, 24, walk, 00
2025-09-29 06:27, 2025-09-29 07:03, 1, taxi, 19, walk, 06
2025-09-29 06:40, 2025-09-29 07:04, 0, taxi, 24, walk, 00
2025-09-29 07:20, 2025-09-29 07:44, 0, taxi, 24, walk, 00
2025-09-29 07:21, 2025-09-29 07:57, 1, walk, 03, taxi, 12
2025-09-29 07:21, 2025-09-29 08:03, 1, walk, 03, walk, 06
2025-09-29 07:27, 2025-09-29 08:03, 1, taxi, 19, walk, 06
2025-09-29 08:27, 2025-09-29 09:03, 1, taxi, 19, walk, 06
2025-09-29 08:40, 2025-09-29 09:04, 0, taxi, 24, walk, 00
2025-09-29 09:20, 2025-09-29 09:44, 0, taxi, 24, walk, 00
2025-09-29 09:27, 2025-09-29 10:03, 1, taxi, 19, walk, 06
2025-09-29 10:00, 2025-09-29 10:24, 0, taxi, 24, walk, 00
2025-09-29 10:15, 2025-09-29 10:50, 1, walk, 03, taxi, 08
2025-09-29 10:15, 2025-09-29 11:03, 1, walk, 03, walk, 06
2025-09-29 10:27, 2025-09-29 11:03, 1, taxi, 19, walk, 06
2025-09-29 10:40, 2025-09-29 11:04, 0, taxi, 24, walk, 00
2025-09-29 10:49, 2025-09-29 11:25, 1, walk, 03, taxi, 12
2025-09-29 10:49, 2025-09-29 11:33, 1, walk, 03, walk, 06
2025-09-29 10:57, 2025-09-29 11:33, 1, taxi, 19, walk, 06
2025-09-29 11:20, 2025-09-29 11:44, 0, taxi, 24, walk, 00
2025-09-29 11:21, 2025-09-29 11:57, 1, walk, 03, taxi, 12
2025-09-29 11:21, 2025-09-29 12:03, 1, walk, 03, walk, 06
2025-09-29 11:27, 2025-09-29 12:03, 1, taxi, 19, walk, 06
2025-09-29 11:57, 2025-09-29 12:33, 1, taxi, 19, walk, 06
2025-09-29 12:00, 2025-09-29 12:24, 0, taxi, 24, walk, 00
2025-09-29 12:15, 2025-09-29 12:51, 1, walk, 03, taxi, 08
2025-09-29 12:15, 2025-09-29 13:03, 1, walk, 03, walk, 06
2025-09-29 12:27, 2025-09-29 13:03, 1, taxi, 19, walk, 06
2025-09-29 12:40, 2025-09-29 13:04, 0, taxi, 24, walk, 00
2025-09-29 13:20, 2025-09-29 13:44, 0, taxi, 24, walk, 00
2025-09-29 13:21, 2025-09-29 13:57, 1, walk, 03, taxi, 12
2025-09-29 13:21, 2025-09-29 14:03, 1, walk, 03, walk, 06
2025-09-29 13:27, 2025-09-29 14:03, 1, taxi, 19, walk, 06
2025-09-29 14:27, 2025-09-29 15:03, 1, taxi, 19, walk, 06
2025-09-29 14:40, 2025-09-29 15:04, 0, taxi, 24, walk, 00
2025-09-29 15:20, 2025-09-29 15:44, 0, taxi, 24, walk, 00
2025-09-29 15:27, 2025-09-29 16:03, 1, taxi, 19, walk, 06
2025-09-29 15:49, 2025-09-29 16:25, 1, walk, 03, taxi, 12
2025-09-29 15:49, 2025-09-29 17:03, 1, walk, 03, walk, 06
2025-09-29 16:00, 2025-09-29 16:24, 0, taxi, 24, walk, 00
2025-09-29 16:27, 2025-09-29 17:03, 1, taxi, 19, walk, 06
2025-09-29 16:40, 2025-09-29 17:04, 0, taxi, 24, walk, 00
2025-09-29 17:20, 2025-09-29 17:44, 0, taxi, 24, walk, 00
2025-09-29 17:21, 2025-09-29 17:57, 1, walk, 03, taxi, 12
2025-09-29 17:21, 2025-09-29 18:03, 1, walk, 03, walk, 06
2025-09-29 17:27, 2025-09-29 18:03, 1, taxi, 19, walk, 06
2025-09-29 18:00, 2025-09-29 18:24, 0, taxi, 24, walk, 00
2025-09-29 18:27, 2025-09-29 19:03, 1, taxi, 19, walk, 06
2025-09-29 18:40, 2025-09-29 19:04, 0, taxi, 24, walk, 00
2025-09-29 18:55, 2025-09-30 04:03, 2, taxi, 19, walk, 06
2025-09-29 19:20, 2025-09-29 19:44, 0, taxi, 24, walk, 00
2025-09-29 20:00, 2025-09-29 20:24, 0, taxi, 24, walk, 00
2025-09-29 20:40, 2025-09-29 21:04, 0, taxi, 24, walk, 00
