,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-22 02:00:00,2025-09-22 02:24:00,0,taxi,24,walk,0
1,2025-09-22 02:40:00,2025-09-22 03:04:00,0,taxi,24,walk,0
2,2025-09-22 03:20:00,2025-09-22 03:44:00,0,taxi,24,walk,0
3,2025-09-22 03:27:00,2025-09-22 04:03:00,1,taxi,19,walk,6
4,2025-09-22 04:22:00,2025-09-22 04:57:00,1,walk,2,taxi,12
5,2025-09-22 04:22:00,2025-09-22 04:57:00,1,walk,2,taxi,12
6,2025-09-22 04:22:00,2025-09-22 05:52:00,1,walk,2,walk,6
7,2025-09-22 05:22:00,2025-09-22 06:03:00,1,walk,2,walk,6
8,2025-09-22 06:27:00,2025-09-22 07:03:00,1,taxi,19,walk,6
9,2025-09-22 07:22:00,2025-09-22 08:03:00,1,walk,2,walk,6
10,2025-09-22 08:27:00,2025-09-22 09:03:00,1,taxi,19,walk,6
11,2025-09-22 09:27:00,2025-09-22 10:03:00,1,taxi,19,walk,6
12,2025-09-22 10:16:00,2025-09-22 11:03:00,1,walk,2,walk,6
13,2025-09-22 10:50:00,2025-09-22 11:33:00,1,walk,2,walk,6
14,2025-09-22 11:22:00,2025-09-22 12:03:00,1,walk,2,walk,6
15,2025-09-22 12:16:00,2025-09-22 13:03:00,1,walk,2,walk,6
16,2025-09-22 13:22:00,2025-09-22 14:03:00,1,walk,2,walk,6
17,2025-09-22 13:29:00,2025-09-22 16:03:00,3,walk,1,walk,6
18,2025-09-22 14:27:00,2025-09-22 15:03:00,1,taxi,19,walk,6
19,2025-09-22 14:40:00,2025-09-22 15:04:00,0,taxi,24,walk,0
20,2025-09-22 14:45:00,2025-09-22 15:18:00,1,taxi,22,walk,5
21,2025-09-22 15:20:00,2025-09-22 15:44:00,0,taxi,24,walk,0
22,2025-09-22 15:50:00,2025-09-22 16:25:00,1,walk,2,taxi,12
23,2025-09-22 15:50:00,2025-09-22 17:03:00,1,walk,2,walk,6
24,2025-09-22 17:22:00,2025-09-22 18:03:00,1,walk,2,walk,6
25,2025-09-22 18:27:00,2025-09-22 19:03:00,1,taxi,19,walk,6
26,2025-09-22 18:40:00,2025-09-22 19:04:00,0,taxi,24,walk,0
27,2025-09-22 18:45:00,2025-09-22 19:18:00,1,taxi,22,walk,5
28,2025-09-22 19:20:00,2025-09-22 19:44:00,0,taxi,24,walk,0
29,2025-09-22 20:00:00,2025-09-22 20:24:00,0,taxi,24,walk,0
30,2025-09-22 20:40:00,2025-09-22 21:04:00,0,taxi,24,walk,0
