,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-06-15 04:02:00,2025-06-15 05:16:00,2,taxi,13,walk,3
1,2025-06-15 06:02:00,2025-06-15 07:16:00,2,taxi,13,walk,3
2,2025-06-15 06:07:00,2025-06-15 08:16:00,2,walk,7,walk,3
3,2025-06-15 07:02:00,2025-06-15 08:16:00,2,taxi,13,walk,3
4,2025-06-15 08:02:00,2025-06-15 09:16:00,2,taxi,13,walk,3
5,2025-06-15 08:07:00,2025-06-15 10:16:00,2,walk,7,walk,3
6,2025-06-15 08:23:00,2025-06-15 11:16:00,2,walk,14,walk,3
7,2025-06-15 10:02:00,2025-06-15 11:16:00,2,taxi,13,walk,3
8,2025-06-15 10:07:00,2025-06-15 12:16:00,2,walk,7,walk,3
9,2025-06-15 11:02:00,2025-06-15 12:16:00,2,taxi,13,walk,3
10,2025-06-15 12:02:00,2025-06-15 13:16:00,2,taxi,13,walk,3
11,2025-06-15 12:07:00,2025-06-15 14:16:00,2,walk,7,walk,3
12,2025-06-15 13:02:00,2025-06-15 14:16:00,2,taxi,13,walk,3
13,2025-06-15 14:02:00,2025-06-15 15:16:00,2,taxi,13,walk,3
14,2025-06-15 14:07:00,2025-06-15 16:16:00,2,walk,7,walk,3
15,2025-06-15 15:02:00,2025-06-15 16:16:00,2,taxi,13,walk,3
16,2025-06-15 15:23:00,2025-06-16 14:48:00,1,walk,14,walk,4
17,2025-06-15 16:02:00,2025-06-15 17:16:00,2,taxi,13,walk,3
18,2025-06-15 16:07:00,2025-06-15 18:15:00,2,walk,7,walk,3
19,2025-06-15 17:02:00,2025-06-15 18:15:00,2,taxi,13,walk,3
20,2025-06-15 18:02:00,2025-06-15 19:14:00,2,taxi,13,walk,11
21,2025-06-15 19:02:00,2025-06-15 20:18:00,2,taxi,13,walk,6
22,2025-06-15 20:02:00,2025-06-15 21:19:00,2,taxi,13,walk,7
