,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-06-14 20:32:00,2025-06-15 04:18:00,5,taxi,27,walk,6
1,2025-06-14 20:32:00,2025-06-15 04:20:00,4,taxi,27,walk,8
2,2025-06-14 20:32:00,2025-06-15 05:20:00,3,taxi,27,walk,8
3,2025-06-15 04:21:00,2025-06-15 07:18:00,5,taxi,5,walk,6
4,2025-06-15 04:21:00,2025-06-15 07:20:00,4,taxi,5,walk,8
5,2025-06-15 04:21:00,2025-06-15 08:18:00,3,taxi,5,walk,5
6,2025-06-15 05:19:00,2025-06-15 08:46:00,3,taxi,5,walk,5
7,2025-06-15 06:13:00,2025-06-15 09:16:00,4,walk,9,walk,5
8,2025-06-15 06:13:00,2025-06-15 09:18:00,3,walk,9,walk,5
9,2025-06-15 06:24:00,2025-06-15 09:16:00,4,taxi,27,walk,5
10,2025-06-15 06:24:00,2025-06-15 09:18:00,3,taxi,27,walk,5
11,2025-06-15 06:26:00,2025-06-15 09:16:00,4,taxi,5,walk,5
12,2025-06-15 06:26:00,2025-06-15 09:18:00,3,taxi,5,walk,5
13,2025-06-15 06:27:00,2025-06-15 09:46:00,3,taxi,27,walk,5
14,2025-06-15 06:31:00,2025-06-15 10:16:00,4,walk,9,walk,5
15,2025-06-15 06:31:00,2025-06-15 10:18:00,3,walk,9,walk,5
16,2025-06-15 07:21:00,2025-06-15 10:16:00,4,taxi,5,walk,5
17,2025-06-15 07:21:00,2025-06-15 10:18:00,3,taxi,5,walk,5
18,2025-06-15 08:19:00,2025-06-15 11:16:00,3,taxi,5,walk,5
19,2025-06-15 08:26:00,2025-06-15 11:16:00,4,taxi,5,walk,5
20,2025-06-15 08:26:00,2025-06-15 11:18:00,3,taxi,5,walk,5
21,2025-06-15 08:27:00,2025-06-15 11:16:00,3,taxi,28,walk,5
22,2025-06-15 09:21:00,2025-06-15 12:16:00,4,taxi,5,walk,5
23,2025-06-15 09:21:00,2025-06-15 12:18:00,3,taxi,5,walk,5
24,2025-06-15 09:34:00,2025-06-15 13:01:00,4,taxi,17,walk,6
25,2025-06-15 10:21:00,2025-06-15 13:01:00,3,taxi,5,walk,6
26,2025-06-15 10:27:00,2025-06-15 13:16:00,3,taxi,28,walk,5
27,2025-06-15 10:31:00,2025-06-15 14:16:00,4,walk,9,walk,5
28,2025-06-15 10:31:00,2025-06-15 14:18:00,3,walk,9,walk,5
29,2025-06-15 11:21:00,2025-06-15 14:16:00,4,taxi,5,walk,5
30,2025-06-15 11:21:00,2025-06-15 14:18:00,3,taxi,5,walk,5
31,2025-06-15 12:19:00,2025-06-15 15:16:00,3,taxi,5,walk,5
32,2025-06-15 12:26:00,2025-06-15 15:16:00,4,taxi,5,walk,5
33,2025-06-15 12:26:00,2025-06-15 15:18:00,3,taxi,5,walk,5
34,2025-06-15 12:27:00,2025-06-15 15:16:00,3,taxi,28,walk,5
35,2025-06-15 13:21:00,2025-06-15 16:16:00,4,taxi,5,walk,5
36,2025-06-15 13:21:00,2025-06-15 16:18:00,3,taxi,5,walk,5
37,2025-06-15 14:13:00,2025-06-15 17:16:00,4,walk,9,walk,5
38,2025-06-15 14:13:00,2025-06-15 17:18:00,3,walk,9,walk,5
39,2025-06-15 14:19:00,2025-06-15 17:16:00,3,taxi,5,walk,5
40,2025-06-15 14:26:00,2025-06-15 17:16:00,4,taxi,5,walk,5
41,2025-06-15 14:26:00,2025-06-15 17:18:00,3,taxi,5,walk,5
42,2025-06-15 14:27:00,2025-06-15 17:16:00,3,taxi,28,walk,5
43,2025-06-15 14:31:00,2025-06-15 18:16:00,4,walk,9,walk,5
44,2025-06-15 14:31:00,2025-06-15 18:18:00,3,walk,9,walk,5
45,2025-06-15 15:21:00,2025-06-15 18:16:00,4,taxi,5,walk,5
46,2025-06-15 15:21:00,2025-06-15 18:18:00,3,taxi,5,walk,5
47,2025-06-15 16:19:00,2025-06-15 19:16:00,3,taxi,5,walk,5
48,2025-06-15 16:21:00,2025-06-15 19:16:00,5,taxi,5,walk,5
49,2025-06-15 16:21:00,2025-06-15 19:18:00,4,taxi,5,walk,5
50,2025-06-15 16:24:00,2025-06-15 19:16:00,4,taxi,27,walk,5
51,2025-06-15 16:24:00,2025-06-15 19:18:00,3,taxi,27,walk,5
52,2025-06-15 16:27:00,2025-06-15 19:40:00,3,taxi,27,walk,5
53,2025-06-15 17:21:00,2025-06-15 20:18:00,5,taxi,5,walk,6
54,2025-06-15 17:21:00,2025-06-15 20:20:00,4,taxi,5,walk,8
55,2025-06-15 17:34:00,2025-06-15 21:10:00,4,taxi,17,walk,5
56,2025-06-15 18:19:00,2025-06-15 21:10:00,3,taxi,5,walk,5
57,2025-06-15 18:21:00,2025-06-15 21:45:00,5,taxi,5,walk,6
58,2025-06-15 18:27:00,2025-06-15 22:11:00,3,taxi,27,walk,5
59,2025-06-15 18:32:00,2025-06-15 22:11:00,4,taxi,27,walk,5
60,2025-06-15 19:19:00,2025-06-15 22:11:00,3,taxi,5,walk,5
61,2025-06-15 19:21:00,2025-06-15 22:59:00,6,taxi,5,walk,6
62,2025-06-15 20:19:00,2025-06-15 23:44:00,3,taxi,5,walk,8
63,2025-06-15 20:21:00,2025-06-16 00:50:00,5,taxi,5,walk,8
