,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-06-14 20:32:00,2025-06-15 04:20:00,4,taxi,27,walk,8
1,2025-06-15 04:21:00,2025-06-15 07:20:00,4,taxi,5,walk,8
2,2025-06-15 06:13:00,2025-06-15 09:16:00,4,walk,9,walk,5
3,2025-06-15 06:13:00,2025-06-15 09:18:00,3,walk,9,walk,5
4,2025-06-15 06:31:00,2025-06-15 10:16:00,4,walk,9,walk,5
5,2025-06-15 06:31:00,2025-06-15 10:18:00,3,walk,9,walk,5
6,2025-06-15 07:21:00,2025-06-15 10:18:00,3,taxi,5,walk,5
7,2025-06-15 08:19:00,2025-06-15 11:16:00,3,taxi,5,walk,5
8,2025-06-15 08:26:00,2025-06-15 11:18:00,3,taxi,5,walk,5
9,2025-06-15 09:21:00,2025-06-15 12:18:00,3,taxi,5,walk,5
10,2025-06-15 10:21:00,2025-06-15 13:01:00,3,taxi,5,walk,6
11,2025-06-15 10:31:00,2025-06-15 14:16:00,4,walk,9,walk,5
12,2025-06-15 10:31:00,2025-06-15 14:18:00,3,walk,9,walk,5
13,2025-06-15 11:21:00,2025-06-15 14:18:00,3,taxi,5,walk,5
14,2025-06-15 12:19:00,2025-06-15 15:16:00,3,taxi,5,walk,5
15,2025-06-15 12:26:00,2025-06-15 15:18:00,3,taxi,5,walk,5
16,2025-06-15 13:21:00,2025-06-15 16:18:00,3,taxi,5,walk,5
17,2025-06-15 14:13:00,2025-06-15 17:16:00,4,walk,9,walk,5
18,2025-06-15 14:13:00,2025-06-15 17:18:00,3,walk,9,walk,5
19,2025-06-15 14:31:00,2025-06-15 18:16:00,4,walk,9,walk,5
20,2025-06-15 14:31:00,2025-06-15 18:18:00,3,walk,9,walk,5
21,2025-06-15 15:21:00,2025-06-15 18:18:00,3,taxi,5,walk,5
22,2025-06-15 16:19:00,2025-06-15 19:16:00,3,taxi,5,walk,5
23,2025-06-15 17:21:00,2025-06-15 20:20:00,4,taxi,5,walk,8
24,2025-06-15 18:19:00,2025-06-15 21:10:00,3,taxi,5,walk,5
25,2025-06-15 19:19:00,2025-06-15 22:11:00,3,taxi,5,walk,5
26,2025-06-15 20:19:00,2025-06-15 23:44:00,3,taxi,5,walk,8
