,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-22 02:28:00,2025-09-22 04:45:00,1,walk,10,walk,3
1,2025-09-22 05:18:00,2025-09-22 06:45:00,1,walk,11,walk,3
2,2025-09-22 06:28:00,2025-09-22 09:16:00,1,walk,10,walk,3
3,2025-09-22 08:28:00,2025-09-22 10:43:00,3,walk,10,walk,3
4,2025-09-22 09:24:00,2025-09-22 10:45:00,1,walk,10,walk,3
5,2025-09-22 10:27:00,2025-09-22 11:45:00,1,walk,11,walk,3
6,2025-09-22 11:27:00,2025-09-22 12:45:00,1,walk,11,walk,3
7,2025-09-22 12:23:00,2025-09-22 13:45:00,1,walk,10,walk,3
8,2025-09-22 13:27:00,2025-09-22 15:43:00,3,walk,11,walk,3
9,2025-09-22 14:28:00,2025-09-22 15:47:00,1,walk,10,walk,3
10,2025-09-22 15:28:00,2025-09-22 16:45:00,1,walk,10,walk,3
11,2025-09-22 16:29:00,2025-09-23 04:15:00,3,walk,11,walk,3
12,2025-09-22 20:15:00,2025-09-22 21:12:00,0,taxi,57,walk,0
