departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-09-22 02:28, 2025-09-22 04:45, 1, walk, 10, walk, 03
2025-09-22 05:18, 2025-09-22 06:45, 1, walk, 11, walk, 03
2025-09-22 06:28, 2025-09-22 09:16, 1, walk, 10, walk, 03
2025-09-22 08:28, 2025-09-22 10:43, 3, walk, 10, walk, 03
2025-09-22 09:24, 2025-09-22 10:45, 1, walk, 10, walk, 03
2025-09-22 10:27, 2025-09-22 11:45, 1, walk, 11, walk, 03
2025-09-22 11:27, 2025-09-22 12:45, 1, walk, 11, walk, 03
2025-09-22 12:23, 2025-09-22 13:45, 1, walk, 10, walk, 03
2025-09-22 13:27, 2025-09-22 15:43, 3, walk, 11, walk, 03
2025-09-22 14:28, 2025-09-22 15:47, 1, walk, 10, walk, 03
2025-09-22 15:28, 2025-09-22 16:45, 1, walk, 10, walk, 03
2025-09-22 16:29, 2025-09-23 04:15, 3, walk, 11, walk, 03
2025-09-22 20:15, 2025-09-22 21:12, 0, taxi, 57, walk, 00
