,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-21 09:40:00,2025-09-21 10:37:00,0,taxi,57,walk,0
1,2025-09-21 09:45:00,2025-09-21 10:42:00,0,taxi,57,walk,0
2,2025-09-21 09:50:00,2025-09-21 10:47:00,0,taxi,57,walk,0
3,2025-09-21 09:55:00,2025-09-21 10:52:00,0,taxi,57,walk,0
4,2025-09-21 10:40:00,2025-09-21 11:37:00,0,taxi,57,walk,0
5,2025-09-21 10:45:00,2025-09-21 11:42:00,0,taxi,57,walk,0
6,2025-09-21 10:50:00,2025-09-21 11:47:00,0,taxi,57,walk,0
7,2025-09-21 10:55:00,2025-09-21 11:52:00,0,taxi,57,walk,0
8,2025-09-21 11:00:00,2025-09-21 11:57:00,0,taxi,57,walk,0
9,2025-09-21 11:05:00,2025-09-21 12:02:00,0,taxi,57,walk,0
10,2025-09-21 13:50:00,2025-09-21 14:47:00,0,taxi,57,walk,0
11,2025-09-21 13:55:00,2025-09-21 14:52:00,0,taxi,57,walk,0
12,2025-09-21 14:40:00,2025-09-21 15:37:00,0,taxi,57,walk,0
13,2025-09-21 14:45:00,2025-09-21 15:42:00,0,taxi,57,walk,0
14,2025-09-21 14:50:00,2025-09-21 15:47:00,0,taxi,57,walk,0
15,2025-09-21 14:55:00,2025-09-21 15:52:00,0,taxi,57,walk,0
16,2025-09-21 15:00:00,2025-09-21 15:57:00,0,taxi,57,walk,0
17,2025-09-21 15:05:00,2025-09-21 16:02:00,0,taxi,57,walk,0
