,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-22 02:37:00,2025-09-22 04:11:00,3,walk,1,taxi,25
1,2025-09-22 04:17:00,2025-09-22 06:20:00,2,walk,10,taxi,24
2,2025-09-22 05:00:00,2025-09-22 06:15:00,2,walk,1,taxi,25
3,2025-09-22 05:00:00,2025-09-22 06:37:00,1,walk,1,walk,14
4,2025-09-22 06:00:00,2025-09-22 06:50:00,1,walk,1,walk,13
5,2025-09-22 07:00:00,2025-09-22 08:15:00,2,walk,1,taxi,25
6,2025-09-22 07:00:00,2025-09-22 08:37:00,1,walk,1,walk,14
7,2025-09-22 14:00:00,2025-09-22 14:50:00,1,walk,1,walk,13
8,2025-09-22 15:00:00,2025-09-22 15:50:00,1,walk,1,walk,13
9,2025-09-22 16:24:00,2025-09-22 18:20:00,2,walk,10,taxi,24
10,2025-09-22 17:00:00,2025-09-22 18:15:00,2,walk,1,taxi,25
11,2025-09-22 18:00:00,2025-09-22 19:11:00,2,walk,1,taxi,25
