,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-09-22 01:47:00,2025-09-22 02:39:00,2,walk,1,taxi,8
1,2025-09-22 01:47:00,2025-09-22 02:50:00,2,walk,1,walk,13
2,2025-09-22 02:37:00,2025-09-22 03:39:00,2,walk,1,taxi,8
3,2025-09-22 02:37:00,2025-09-22 04:11:00,3,walk,1,taxi,25
4,2025-09-22 02:37:00,2025-09-22 04:37:00,2,walk,1,walk,14
5,2025-09-22 04:00:00,2025-09-22 04:39:00,1,walk,1,taxi,8
6,2025-09-22 04:00:00,2025-09-22 04:50:00,1,walk,1,walk,13
7,2025-09-22 04:17:00,2025-09-22 06:20:00,2,walk,10,taxi,24
8,2025-09-22 05:00:00,2025-09-22 05:39:00,1,walk,1,taxi,8
9,2025-09-22 05:00:00,2025-09-22 06:15:00,2,walk,1,taxi,25
10,2025-09-22 05:00:00,2025-09-22 06:37:00,1,walk,1,walk,14
11,2025-09-22 06:00:00,2025-09-22 06:39:00,1,walk,1,taxi,8
12,2025-09-22 06:00:00,2025-09-22 06:50:00,1,walk,1,walk,13
13,2025-09-22 07:00:00,2025-09-22 07:39:00,1,walk,1,taxi,8
14,2025-09-22 07:00:00,2025-09-22 08:15:00,2,walk,1,taxi,25
15,2025-09-22 07:00:00,2025-09-22 08:37:00,1,walk,1,walk,14
16,2025-09-22 08:00:00,2025-09-22 08:39:00,1,walk,1,taxi,8
17,2025-09-22 08:00:00,2025-09-22 08:50:00,1,walk,1,walk,13
18,2025-09-22 09:00:00,2025-09-22 09:39:00,1,walk,1,taxi,8
19,2025-09-22 09:00:00,2025-09-22 09:41:00,1,walk,1,walk,2
20,2025-09-22 10:00:00,2025-09-22 10:39:00,1,walk,1,taxi,8
21,2025-09-22 10:00:00,2025-09-22 10:40:00,1,walk,1,walk,2
22,2025-09-22 11:00:00,2025-09-22 11:39:00,1,walk,1,taxi,8
23,2025-09-22 11:00:00,2025-09-22 11:40:00,1,walk,1,walk,2
24,2025-09-22 12:00:00,2025-09-22 12:39:00,1,walk,1,taxi,8
25,2025-09-22 12:00:00,2025-09-22 12:45:00,1,walk,1,walk,2
26,2025-09-22 13:00:00,2025-09-22 13:39:00,1,walk,1,taxi,8
27,2025-09-22 13:00:00,2025-09-22 13:40:00,1,walk,1,walk,2
28,2025-09-22 14:00:00,2025-09-22 14:39:00,1,walk,1,taxi,8
29,2025-09-22 14:00:00,2025-09-22 14:50:00,1,walk,1,walk,13
30,2025-09-22 15:00:00,2025-09-22 15:39:00,1,walk,1,taxi,8
31,2025-09-22 15:00:00,2025-09-22 15:50:00,1,walk,1,walk,13
32,2025-09-22 16:00:00,2025-09-22 16:39:00,1,walk,1,taxi,8
33,2025-09-22 16:00:00,2025-09-22 16:42:00,1,walk,1,walk,2
34,2025-09-22 16:24:00,2025-09-22 18:20:00,2,walk,10,taxi,24
35,2025-09-22 17:00:00,2025-09-22 17:39:00,1,walk,1,taxi,8
36,2025-09-22 17:00:00,2025-09-22 18:15:00,2,walk,1,taxi,25
37,2025-09-22 18:00:00,2025-09-22 18:39:00,1,walk,1,taxi,8
38,2025-09-22 18:00:00,2025-09-22 19:11:00,2,walk,1,taxi,25
39,2025-09-22 19:00:00,2025-09-22 19:39:00,1,walk,1,taxi,8
40,2025-09-22 20:00:00,2025-09-22 20:39:00,1,walk,1,taxi,8
41,2025-09-22 20:00:00,2025-09-23 02:50:00,1,walk,1,walk,13
